Year    Jan     Feb     Mar     Apr     May     Jun       Jul     Aug     Sep     Oct     Nov     Dec       Winter Season
Jan-Feb Pre-Monsoon Season
Mar-May Monsoon Season
Jun-Sep Post-Monsoon Season
Oct-Dec Annual
1951    17.4949 19.7901 24.1030 26.6553 30.0188 29.4363   28.0274 27.2130 27.3528 26.7086 22.4282 18.6291   18.6023 26.9257 28.0074 22.5787 24.8183
1952    18.5552 21.2164 23.6072 28.6899 30.5609 29.7973   27.6898 26.8022 26.9567 25.4298 21.3023 18.9102   19.8858 27.6194 27.8096 21.8718 24.9550
1953    17.7122 21.3153 26.1266 28.3119 30.9219 30.2307   27.5428 26.9027 26.6976 25.1009 21.2784 19.3951   19.5137 28.4211 27.8434 21.9248 25.1203
1954    17.2836 21.0357 24.4282 28.6873 31.0717 29.6791   27.4518 27.1650 26.5642 23.9449 20.8500 18.3974   19.1596 28.0624 27.7150 21.0641 24.7132
1955    17.9762 20.6103 25.1839 26.9679 29.5686 29.5105   27.5525 26.6199 26.5803 24.6735 20.7701 18.0196   19.2932 27.2401 27.5658 21.1544 24.5028
1956    17.8731 19.7324 24.5647 28.4423 30.5546 28.5284   26.6378 26.4585 26.6068 24.4870 20.9533 18.4451   18.8028 27.8539 27.0579 21.2951 24.4403
1957    17.9260 19.0841 23.0058 27.3319 29.7597 29.7185   27.6810 27.0994 26.7507 25.2502 22.0430 19.1858   18.5051 26.6991 27.8124 22.1596 24.5697
1958    19.2079 20.4694 24.9107 28.9254 30.4157 31.0005   27.6923 27.1052 26.6786 25.2725 22.0255 19.1995   19.8387 28.0840 28.1191 22.1658 25.2419
1959    18.1406 19.7121 24.7243 28.4016 30.4180 29.6949   27.2417 26.9327 26.6499 25.4022 21.4659 18.8298   18.9264 27.8480 27.6263 21.8993 24.7953
1960    17.8007 21.4219 23.4349 27.8787 30.4040 29.8708   27.6535 27.1897 27.0502 25.2730 21.2240 19.3058   19.6113 27.2392 27.9411 21.9343 24.8756
