Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Season,Winter_Avg,Summer_Avg,Monsoon_Avg,Post_Monsoon_Avg,Annual_Avg,Is_Extreme,Decade,Anomaly
1946,17.8912,21.035,24.005,28.269,30.1128,29.1614,27.4388,26.9166,26.6867,25.4665,21.6343,18.9136,19.4631,27.4623,19.2799,27.4623,27.5509,23.5504,24.7942,False,1940,0.231
1947,17.5848,20.053,24.5044,28.4715,30.8366,30.4637,27.7186,27.405,26.3985,24.476,21.7674,18.6728,18.8189,27.9375,18.7702,27.9375,27.9964,23.1217,24.8627,False,1940,0.2995
1948,18.1608,19.8477,23.7411,28.5427,30.8945,30.0512,27.5922,26.8286,26.6102,25.4209,21.7171,18.0074,18.9907,27.7261,18.672,27.7261,27.7706,23.569,24.7845,False,1940,0.2213
1949,18.6976,19.7557,24.5056,28.2497,30.249,29.3798,27.4506,27.0159,26.8738,25.3747,20.5404,17.8455,19.2266,27.6681,18.7663,27.6681,27.68,22.9576,24.6615,False,1940,0.0983
1950,18.2654,19.0335,23.2831,27.5163,30.4235,29.5804,27.2571,26.8159,26.3652,24.7244,20.7656,17.8203,18.6494,27.0743,18.3731,27.0743,27.5046,22.745,24.3209,False,1950,-0.2423
1951,17.4949,19.7901,24.103,26.6553,30.0188,29.4363,28.0274,27.213,27.3528,26.7086,22.4282,18.6291,18.6023,26.9257,18.638,26.9257,28.0074,24.5684,24.8215,False,1950,0.2583
1952,18.5552,21.2164,23.6072,28.6899,30.5609,29.7973,27.6898,26.8022,26.9567,25.4298,21.3023,18.9102,19.8858,27.6194,19.5606,27.6193,27.8115,23.366,24.9598,False,1950,0.3966
1953,17.7122,21.3153,26.1266,28.3119,30.9219,30.2307,27.5428,26.9027,26.6976,25.1009,21.2784,19.3951,19.5137,28.4211,19.4742,28.4535,27.8434,23.1896,25.128,False,1950,0.5648
1954,17.2836,21.0357,24.4282,28.6873,31.0717,29.6791,27.4518,27.165,26.5642,23.9449,20.85,18.3974,19.1596,28.0624,18.9056,28.0624,27.715,22.3974,24.7132,False,1950,0.15
1955,17.9762,20.6103,25.1839,26.9679,29.5686,29.5105,27.5525,26.6199,26.5803,24.6735,20.7701,18.0196,19.2932,27.2401,18.8687,27.2401,27.5658,22.7218,24.5028,False,1950,-0.0604
1956,17.8731,19.7324,24.5647,28.4423,30.5546,28.5284,26.6378,26.4585,26.6068,24.487,20.9533,18.4451,18.8028,27.8539,18.6835,27.8539,27.0579,22.7201,24.4403,False,1950,-0.1229
1957,17.926,19.0841,23.0058,27.3319,29.7597,29.7185,27.681,27.0994,26.7507,25.2502,22.043,19.1858,18.5051,26.6991,18.732,26.6991,27.8124,23.6466,24.5697,False,1950,0.0065
1958,19.2079,20.4694,24.9107,28.9254,30.4157,31.0005,27.6923,27.1052,26.6786,25.2725,22.0255,19.1995,19.8387,28.084,19.6256,28.0839,28.1192,23.649,25.2419,True,1950,0.6787
1959,18.1406,19.7121,24.7243,28.4016,30.418,29.6949,27.2417,26.9327,26.6499,25.4022,21.4659,18.8298,18.9264,27.848,18.8942,27.848,27.6298,23.434,24.8011,False,1950,0.2379
1960,17.8007,21.4219,23.4349,27.8787,30.404,29.8708,27.6535,27.1897,27.0502,25.273,21.224,19.3058,19.6113,27.2392,19.5095,27.2392,27.941,23.2485,24.8756,False,1960,0.3124
1961,18.4582,18.8586,25.0719,28.1111,30.1504,28.9972,27.2593,27.0832,26.5877,24.6794,20.8485,17.2157,18.6584,27.7778,18.1775,27.7778,27.4818,22.764,24.4434,False,1960,-0.1198
1962,16.8761,20.2151,24.019,28.0687,29.975,29.6411,27.9862,27.0193,26.4052,24.4432,21.2895,18.4761,18.5169,27.3349,18.5224,27.3542,27.763,22.8664,24.5345,False,1960,-0.0287
1963,17.2516,20.8411,24.0419,27.2584,29.5548,29.3922,27.9283,26.9539,26.7669,25.4441,22.261,18.8708,19.0464,26.8812,18.9878,26.9517,27.7603,23.8526,24.7138,False,1960,0.1506
1964,17.3103,20.1826,25.3749,28.6094,29.9494,29.6212,27.1153,26.9173,26.4933,25.459,21.0589,18.3864,18.7465,27.9779,18.6264,27.9779,27.5368,23.259,24.7065,False,1960,0.1433
1965,18.6064,20.0961,23.5257,26.8239,29.6939,30.1478,27.5742,27.0279,26.8222,25.7904,22.2635,18.6287,19.3513,26.6812,19.1104,26.6812,27.893,24.027,24.7501,False,1960,0.1869
1966,18.3521,21.6204,24.4003,28.2922,30.3687,29.5477,28.2604,27.1926,26.6836,25.53,22.3843,18.2952,19.9863,27.643,19.4226,27.6871,27.9211,23.9572,25.0773,False,1960,0.5141
1967,17.635,21.1721,23.3061,27.4024,30.028,29.9164,27.6,26.7751,26.6547,25.021,21.467,19.2206,19.4036,26.9122,19.3426,26.9122,27.7366,23.244,24.6832,False,1960,0.12
1968,17.1921,19.1818,23.8601,27.3558,29.8077,29.7291,27.6,27.1388,27.481,24.9725,21.6842,18.6695,18.1869,27.0079,18.3478,27.0079,27.9872,23.3284,24.556,False,1960,-0.0072
1969,17.8908,20.7613,25.8735,28.6002,29.8301,30.2075,27.8086,27.0376,26.7589,25.5848,22.627,18.8654,19.3261,28.1013,19.1725,28.1013,27.9532,24.1059,25.1538,True,1960,0.5906
1970,18.1792,20.2577,24.0775,28.6707,30.6706,28.6621,27.6701,26.9876,26.6427,25.4334,21.0667,17.9541,19.2185,27.8063,18.797,27.8063,27.4906,23.2501,24.6894,False,1970,0.1262
1971,17.5261,20.0882,23.9216,27.9172,29.06,28.0548,27.0478,26.6346,26.7873,24.9399,20.9402,18.1919,18.8071,26.9755,18.6021,26.9663,27.1311,22.94,24.2591,False,1970,-0.3041
1972,17.8787,18.6355,24.6659,27.4548,30.3837,30.4987,27.974,27.1385,26.8006,25.2304,21.8992,19.1813,18.2571,27.4956,18.5652,27.5015,28.103,23.5648,24.8118,False,1970,0.2486
1973,18.2379,21.2584,24.3788,29.5239,30.8015,29.6494,27.7284,26.7969,26.6374,24.9882,21.3172,18.0752,19.7482,28.2348,19.1905,28.2347,27.703,23.1527,24.9494,False,1970,0.3862
1974,17.4526,19.5282,25.0843,28.6952,29.809,29.3943,27.5779,27.2153,27.1541,25.5273,21.267,17.5727,18.4904,27.8628,18.1845,27.8628,27.8354,23.3972,24.6898,False,1970,0.1266
1975,17.0546,19.7686,23.8694,28.4604,30.495,29.1824,26.8984,26.8268,26.2073,25.3081,20.3024,17.9105,18.4343,27.5665,18.2446,27.6083,27.2787,22.8052,24.357,False,1970,-0.2062
1976,17.6327,19.9947,24.1111,27.5045,29.7857,29.0225,27.6656,26.4964,26.4969,25.7171,23.0844,19.0216,18.8527,27.1406,18.883,27.1338,27.4204,24.4008,24.7111,False,1970,0.1479
1977,17.725,20.6341,25.7116,27.8472,28.9377,29.1673,27.328,27.0459,26.7099,25.5153,22.9879,18.8027,19.2251,27.4989,19.0539,27.4988,27.5628,24.2516,24.8677,False,1970,0.3045
1978,17.3295,19.6431,23.1518,27.9876,31.09,29.3923,27.0678,26.8659,26.5938,25.5372,22.4594,18.8336,18.5309,27.4098,18.6021,27.4098,27.48,23.9983,24.6627,False,1970,0.0995
1979,18.6487,19.6718,23.4515,28.6623,29.6476,30.5141,28.0966,27.3682,27.0855,25.8839,23.258,19.2596,19.1603,27.2538,19.1934,27.2538,28.2661,24.571,25.129,False,1970,0.5658
1980,18.2851,20.8044,24.2531,29.2824,30.9962,29.1366,27.5417,27.117,27.2129,25.8773,22.2681,18.8993,19.5448,28.1772,19.3296,28.1772,27.752,24.0727,25.1395,True,1980,0.5763
1981,17.8322,20.6778,23.8408,28.0213,30.0105,30.0856,27.4297,27.0435,27.0752,25.4133,21.2005,18.2949,19.2243,27.2909,18.935,27.2909,27.9085,23.3069,24.7438,False,1980,0.1806
1982,18.575,19.6345,23.0291,27.267,29.182,29.5671,28.4793,27.1631,27.0225,25.7629,21.911,18.9869,19.1047,26.4927,19.0655,26.4927,28.058,23.837,24.715,False,1980,0.1518
1983,17.6238,19.5744,23.7086,26.7669,29.5283,30.1174,27.9647,27.1883,26.8453,24.9212,21.0646,18.2942,18.5789,26.6679,18.4975,26.6679,28.0289,22.9929,24.4665,False,1980,-0.0967
